Id,Rating,Name,Symbol,Rating Agency Name,Date,Sector,currentRatio,quickRatio,cashRatio,daysOfSalesOutstanding,netProfitMargin,pretaxProfitMargin,grossProfitMargin,operatingProfitMargin,returnOnAssets,returnOnCapitalEmployed,returnOnEquity,assetTurnover,fixedAssetTurnover,debtEquityRatio,debtRatio,effectiveTaxRate,freeCashFlowOperatingCashFlowRatio,freeCashFlowPerShare,cashPerShare,companyEquityMultiplier,ebitPerRevenue,enterpriseValueMultiple,operatingCashFlowPerShare,operatingCashFlowSalesRatio,payablesTurnover,CIK,binaryRating,GPT_description
1682,BBB,RPM International Inc.,RPM,Egan-Jones Ratings Company,8/20/2015,Basic Industries,2.324803263,1.252078084,0.193427853,75.96326408,0.052123494,-0.000851226,0.422537354,0.052123494,0.051016565,-0.001031653,0.185446402,0.978763335,7.79204811,2.635023293,0.724898599,-57.51086679,0.741674938,1.886241371,1.344623768,3.635023293,-0.000851226,23.16241366,2.543218428,0.071921733,5.1803247,110621.0,1,"According to the given financial indicators, RPM International Inc. has a mixed credit profile. The current ratio of 2.324803263 indicates that the company has sufficient current assets to cover its short-term liabilities, suggesting a good level of liquidity. However, the quick ratio of 1.252078084 indicates a slightly lower ability to meet short-term obligations without relying on inventory.

The cash ratio of 0.193427853 indicates a relatively low level of cash reserves compared to current liabilities, which may pose a liquidity risk. Additionally, the days of sales outstanding at 75.96326408 suggests that the company takes a considerable amount of time to collect its accounts receivable.

The net profit margin of 0.052123494 indicates that RPM International Inc. has a low profitability, while the pretax profit margin is negative, indicating potential operational challenges. The gross profit margin of 0.422537354 suggests that the company has a reasonable level of profitability after accounting for the cost of goods sold.

The return on assets of 0.051016565 suggests that the company generates a moderate return on its total assets. However, the return on equity of 0.185446402 indicates a relatively high return for shareholders, which is a positive aspect.

The debt-equity ratio of 2.635023293 indicates a high level of leverage, potentially increasing financial risk. The effective tax rate of -57.51086679 suggests that the company faces significant tax benefits or losses.

In summary, RPM International Inc. has a decent liquidity position and shows profitability potential based on return on equity. However, the high debt-equity ratio and negative pretax profit margin raise concerns about the company's financial stability and operational efficiency. Further analysis is recommended to assess the long-term sustainability of the company's financial performance."
888,A,Broadcom Inc.,AVGO,Moody's Investors Service,6/15/2012,Technology,3.98,3.305714286,2.368571429,51.25,0.23630137,0.24015411,0.491010274,0.25,0.225674571,0.269561069,0.275174477,0.955028618,7.392405063,0.219341974,0.179885527,0.016042781,0.845730028,2.501164865,3.376979923,1.219341974,0.241866438,10.00216575,2.957403407,0.310787671,5.380090498,1730168.0,1,"Based on the provided financial indicators and credit evaluation, Broadcom Inc. can be summarized as a company with a favorable overall credit condition. 

Broadcom Inc. showcases a strong financial position with a current ratio of 3.98, indicating its ability to meet short-term obligations. The quick ratio of 3.31 suggests a robust liquidity position, allowing the company to cover immediate liabilities using its most liquid assets. Moreover, the cash ratio of 2.37 highlights the company's ability to cover short-term obligations solely with cash.

The company exhibits efficient management of its assets, with a high asset turnover ratio of 0.96, indicating effective utilization of resources to generate revenue. Additionally, Broadcom Inc. demonstrates strong profitability, with a net profit margin of 0.24 and a gross profit margin of 0.49. These indicators suggest effective cost management and a healthy profit-generating capability.

Broadcom Inc. also maintains a conservative capital structure, with a low debt-equity ratio of 0.22 and a debt ratio of 0.18. This implies that the company relies less on debt financing and has a strong equity base. Furthermore, the company shows a strong ability to generate cash, with a free cash flow operating cash flow ratio of 0.85.

Overall, Broadcom Inc. exhibits strong financial performance, efficient asset management, and a conservative capital structure, indicating a positive credit outlook. With its strong liquidity position and profitability, the company is well-positioned to meet its financial obligations and generate sustainable growth."
743,BBB,Tenneco Inc.,TEN,Egan-Jones Ratings Company,7/31/2013,Capital Goods,1.245919478,0.715995647,0.149619151,47.71032145,0.022978403,0.043194375,1.0,0.043194375,0.047780679,0.172690763,0.422632794,2.079373368,6.77787234,7.845265589,0.88694517,0.354651163,0.514910537,4.282797448,4.547371808,8.845265589,0.043194375,7.591276754,8.317556434,0.063159216,4.955114054,1024725.0,1,"Tenneco Inc., as indicated by its financial indicators, demonstrates a mixed credit profile. It is characterized by a moderate level of liquidity and profitability, coupled with a high level of debt.

In terms of liquidity, Tenneco Inc. has a current ratio of 1.25, indicating that it has sufficient current assets to cover its short-term liabilities. However, its quick ratio of 0.72 suggests that the company may face challenges in meeting its immediate obligations. Furthermore, the cash ratio of 0.15 indicates a relatively low level of cash compared to its overall assets, potentially limiting its ability to address unforeseen financial needs.

Profitability-wise, Tenneco Inc. exhibits a net profit margin of 2.30%, implying that the company generates a modest level of profit from its operations. Its return on assets and return on capital employed, at 4.78% and 17.27% respectively, suggest that the company efficiently utilizes its assets and capital to generate returns. Moreover, the return on equity of 42.26% indicates that the company is successful in generating value for its shareholders.

However, Tenneco Inc. is burdened by a high level of debt, with a debt-equity ratio of 7.85 and a debt ratio of 88.69%. This signifies that the company relies heavily on debt financing, potentially exposing it to financial risks in the long run.

In conclusion, Tenneco Inc. demonstrates moderate liquidity and profitability, but its high debt levels pose a significant credit risk. It is essential for the company to manage its debt levels prudently and improve its liquidity position to enhance its overall credit standing."
544,A,Dover Corporation,DOV,Egan-Jones Ratings Company,4/23/2015,Technology,1.420460597,0.916136679,0.334214168,55.87224136,0.099995124,0.141138319,0.383639024,0.156781458,0.085280766,0.155183972,0.209481926,0.852849247,9.261755005,1.456379493,0.59289678,0.288854851,0.825258587,4.704070981,4.088864493,2.456379493,0.141138319,7.736958032,5.700117582,0.122558666,7.765692342,29905.0,1,"Based on the given financial indicators and credit rating, Dover Corporation's overall credit condition can be summarized as follows:

Dover Corporation has a binary credit rating of 1, indicating a good credit standing. The company's financial ratios reflect a healthy liquidity position, with a current ratio of 1.42 and a quick ratio of 0.92. This suggests that the company has enough current assets to cover its short-term liabilities.

Furthermore, the company has a positive net profit margin of 9.99%, indicating efficient cost management and profitability. Dover Corporation's return on assets, return on capital employed, and return on equity ratios are also favorable, suggesting effective utilization of assets and capital.

The company's debt-equity ratio of 1.46 indicates a moderate level of debt, while the debt ratio stands at 59.29%, indicating a relatively high level of debt compared to equity. However, this is offset by the company's strong operating cash flow per share and free cash flow per share, indicating a healthy cash flow generation and ability to meet financial obligations.

Dover Corporation's efficient asset turnover and fixed asset turnover ratios highlight the company's effective utilization of its assets to generate revenue. The company also demonstrates a strong gross profit margin and operating profit margin, indicating effective cost control and operational efficiency.

Overall, Dover Corporation appears to be in a good financial standing with a favorable credit rating. The company's strong liquidity, profitability, and efficient asset utilization contribute to its positive credit outlook. However, the relatively high debt ratio should be carefully managed to ensure sustainable growth and financial stability.

In conclusion, Dover Corporation's creditworthiness is solid, supported by its strong financial performance and favorable ratios."
1932,BB,Briggs & Stratton Corporation,BGG,Egan-Jones Ratings Company,1/23/2015,Energy,2.870621102,1.459148974,0.642072384,43.30971028,0.015248029,0.019974611,0.186536744,0.024882467,0.01955362,0.032388473,0.04215581,1.282370356,6.259313754,1.155908238,0.536158366,0.236629504,0.524933309,1.438726653,4.783785533,2.155908238,0.019974611,9.260714071,2.740779882,0.068356589,8.899551607,14195.0,0,"Based on the given financial indicators and credit evaluation, Briggs & Stratton Corporation's overall credit condition can be summarized as follows:

Briggs & Stratton Corporation exhibits a strong financial position with a current ratio of 2.870621102, indicating its ability to cover short-term obligations. The company also maintains a healthy liquidity position with a quick ratio of 1.459148974 and a cash ratio of 0.642072384. These ratios suggest the company has sufficient liquid assets to meet its immediate financial obligations.

The company's profitability ratios are also favorable, with a net profit margin of 0.015248029 and a pretax profit margin of 0.019974611. This indicates that Briggs & Stratton Corporation is able to generate profits from its operations. Additionally, the company's gross profit margin of 0.186536744 demonstrates its ability to control costs and generate a reasonable profit from its revenue.

Briggs & Stratton Corporation's efficiency ratios are noteworthy, with an asset turnover of 1.282370356 and a fixed asset turnover of 6.259313754. These figures indicate that the company is effectively utilizing its assets to generate revenue. The payables turnover of 8.899551607 suggests efficient management of accounts payable.

Regarding leverage and solvency, the company has a debt-equity ratio of 1.155908238 and a debt ratio of 0.536158366. These ratios signify a moderate level of debt compared to equity and assets, indicating a reasonable level of financial risk.

Furthermore, Briggs & Stratton Corporation's effective tax rate of 0.236629504 and enterprise value multiple of 9.260714071 contribute to its credit evaluation.

Overall, based on the aforementioned indicators, Briggs & Stratton Corporation demonstrates a positive credit profile with strong liquidity, profitability, efficiency, and solvency ratios. The company's ability to generate profits, effectively manage its assets, and maintain a moderate level of debt contributes to its favorable credit rating."
906,BB,Darling Ingredients Inc.,DAR,Standard & Poor's Ratings Services,9/29/2015,Consumer Non-Durables,2.17669298,1.30293383,0.224740364,37.80399086,0.016230488,0.020587179,1.0,0.041579773,0.012418984,0.017379504,0.032880353,0.765163915,2.513438019,1.647588057,0.622297737,0.161334283,0.127069615,0.212395294,1.341802985,2.647588057,0.020587179,10.99945436,1.671487666,0.069550351,18.53315966,916540.0,0,"Darling Ingredients Inc. is a company with a strong overall credit position. The company demonstrates a healthy liquidity position with a current ratio of 2.17669298, indicating its ability to meet short-term obligations. Additionally, its quick ratio of 1.30293383 suggests that it has sufficient liquid assets to cover immediate liabilities.

The company also exhibits efficient management of its assets, as evidenced by its low days of sales outstanding of 37.80399086. This indicates that Darling Ingredients has a quick turnover of its accounts receivable, allowing it to collect cash from its customers in a timely manner.

Profitability is another strength for Darling Ingredients. The company has a net profit margin of 0.016230488 and a pretax profit margin of 0.020587179, indicating its ability to generate profits from its operations. Furthermore, its return on equity of 0.032880353 indicates that the company is effectively utilizing its shareholders' investments to generate returns.

In terms of financial leverage, Darling Ingredients has a moderate debt equity ratio of 1.647588057 and a debt ratio of 0.622297737. While the company has some level of debt, it is still within reasonable levels and suggests that the company is not overly reliant on debt financing.

Overall, Darling Ingredients Inc. demonstrates strong financial performance and stability. Its efficient management of liquidity, profitability, and assets contribute to its positive credit rating. The company's prudent financial management and ability to generate profits make it a reliable and trustworthy business entity."
931,B,"HCA Healthcare, Inc.",HCA,Egan-Jones Ratings Company,5/29/2015,Health Care,1.629562044,1.154014599,0.103284672,51.84498715,0.046773268,0.057549829,1.0,0.046773268,0.06009808,0.089700222,-0.237522169,1.284880926,2.792546151,-4.952242209,1.25302093,0.480277417,0.510791367,5.214980214,1.446055253,-3.952242209,0.057549829,16.03540123,10.20960915,0.110958665,0.0,860730.0,0,"Based on the financial indicators provided, HCA Healthcare, Inc. has a mixed credit profile. The current ratio of 1.63 suggests that the company has sufficient current assets to cover its short-term liabilities, indicating a strong liquidity position. Furthermore, the quick ratio of 1.15 indicates that the company can meet its immediate obligations without relying heavily on inventory.

However, the negative debt equity ratio and company equity multiplier indicate that the company has a high level of debt compared to its equity, which raises concerns about its financial stability. Additionally, the negative return on equity suggests that the company is not generating sufficient profits to compensate its shareholders for their investment.

The net profit margin and operating profit margin are both positive, indicating that the company is generating profits from its operations. However, the gross profit margin of 1.0 suggests that the company has a high cost of goods sold relative to its revenue.

Furthermore, the cash ratio of 0.10 indicates that the company has a relatively low level of cash compared to its current liabilities, which may affect its ability to meet short-term financial obligations.

Overall, HCA Healthcare, Inc. appears to have a reasonable liquidity position but faces challenges related to its high debt levels and profitability. It is important for potential investors or creditors to perform a more comprehensive analysis before making any decisions."
261,B,Global Partners LP,GLP,Moody's Investors Service,6/1/2015,Energy,1.358636364,0.772863542,0.007403628,9.674110886,0.006529664,0.006829375,0.031419018,0.009595104,0.055278564,0.0885135,0.192126309,8.465759173,20.9319836,2.475602359,0.712280089,0.008164961,0.724228911,9.109700948,3.248140044,3.475602359,0.006829375,5.496626229,12.57848286,0.019971217,36.63305513,1323468.0,0,"Global Partners LP is a company that shows a generally positive credit profile based on its financial indicators. The company exhibits a healthy liquidity position, as indicated by its current ratio of 1.36. This suggests that the company is well-positioned to meet its short-term obligations. Additionally, the quick ratio of 0.77 indicates that the company has a satisfactory ability to cover immediate liabilities with its most liquid assets.

The company has a strong asset turnover ratio of 8.47, indicating efficient utilization of its assets to generate sales. This, coupled with a high fixed asset turnover ratio of 20.93, suggests effective utilization of its fixed assets to generate revenue.

Global Partners LP demonstrates a moderate level of profitability, with a net profit margin of 0.0065 and a gross profit margin of 0.0314. Although these margins are relatively modest, they still indicate a reasonable ability to generate profits from its operations.

The company's return on equity of 0.1921 suggests that it is successful in generating returns for its shareholders. However, the debt-equity ratio of 2.48 indicates a relatively high level of debt compared to equity, which may pose some risks.

Overall, Global Partners LP appears to have a stable credit profile with satisfactory liquidity, efficient asset utilization, and moderate profitability. However, the high debt-equity ratio should be closely monitored to ensure the long-term sustainability of its financial position.

In conclusion, Global Partners LP is a company with a generally positive credit outlook, but vigilance should be exercised regarding its debt levels."
590,BBB,Sempra Energy,SRE,Fitch Ratings,6/15/2012,Public Utilities,0.560172952,0.368724478,0.060533269,43.57014747,0.135213232,0.171482662,1.0,0.048425668,0.040682336,0.058952489,0.13793454,0.300875405,0.425759376,2.39052653,0.705060559,0.212667054,-0.523299411,-4.075588186,1.405806775,3.39052653,0.171482662,13.26955343,7.788252962,0.186030291,0.0,1032208.0,1,"Based on the financial indicators provided, Sempra Energy's overall credit condition can be summarized as follows:

Sempra Energy has a binary rating of 1, indicating a favorable credit rating. The company's liquidity position is weak, with a current ratio of 0.560 and a quick ratio of 0.369, suggesting a potential difficulty in meeting short-term obligations. Additionally, the cash ratio of 0.061 implies limited cash reserves to cover immediate expenses. 

The company's profitability measures are relatively healthy, with a net profit margin of 0.135 and a gross profit margin of 1.0. However, the operating profit margin of 0.048 indicates a lower level of efficiency in generating profits from operations. 

Sempra Energy's return on assets is 0.041, indicating a moderate ability to generate profits from its assets. The return on equity is 0.138, suggesting a good return for shareholders. 

The company's debt ratios are high, with a debt-equity ratio of 2.391 and a debt ratio of 0.705. This indicates a significant reliance on debt financing, which may pose potential risks to the company's financial stability. 

Sempra Energy's free cash flow operating cash flow ratio is negative, indicating a cash flow deficit. The enterprise value multiple of 13.270 suggests that the company's market value is higher than its operating cash flow. 

In summary, Sempra Energy's credit condition indicates a favorable binary rating. While the company demonstrates profitability and return on equity, its liquidity position and high debt ratios pose potential risks. It is essential for the company to improve its liquidity and manage its debt levels effectively to maintain a strong credit position."
988,BB,Concho Resources Inc.,CXO,Egan-Jones Ratings Company,8/11/2015,Energy,2.204067603,1.819221354,0.383203112,41.27904997,0.036538582,0.053932389,1.0,0.211249004,0.005212834,0.008075327,0.009492188,0.142666563,0.164305521,0.820926631,0.450829054,0.322511334,1.0,7.483823358,7.346597068,1.820926631,0.053932389,9.161323617,7.483823358,0.497626101,0.0,1358071.0,0,"Based on the provided financial indicators, Concho Resources Inc. exhibits a generally positive credit profile. 

The company's liquidity position is robust, with a current ratio of 2.20, indicating its ability to meet short-term obligations comfortably. Additionally, the quick ratio and cash ratio of 1.82 and 0.38 respectively further emphasize the company's strong liquidity position.

Concho Resources Inc. demonstrates efficient management of its assets with a low days of sales outstanding figure of 41.28, implying effective collection of receivables. The company's profitability indicators are also favorable, with a net profit margin of 3.65% and a gross profit margin of 100%. This indicates strong control over costs and healthy revenue generation.

Furthermore, Concho Resources Inc. showcases a solid capital structure, indicated by a low debt-equity ratio of 0.82 and a debt ratio of 0.45. These ratios suggest that the company has a conservative approach to debt and a strong equity base.

The return on assets, return on capital employed, and return on equity figures of 0.52%, 0.81%, and 0.95% respectively demonstrate Concho Resources Inc.'s ability to generate satisfactory returns from its investments and effectively allocate its capital.

Overall, Concho Resources Inc. exhibits strong financial performance and prudent financial management practices. Its robust liquidity position, profitability, and sound capital structure contribute to a positive credit evaluation."
