Id,Rating,Name,Symbol,Rating Agency Name,Date,Sector,currentRatio,quickRatio,cashRatio,daysOfSalesOutstanding,netProfitMargin,pretaxProfitMargin,grossProfitMargin,operatingProfitMargin,returnOnAssets,returnOnCapitalEmployed,returnOnEquity,assetTurnover,fixedAssetTurnover,debtEquityRatio,debtRatio,effectiveTaxRate,freeCashFlowOperatingCashFlowRatio,freeCashFlowPerShare,cashPerShare,companyEquityMultiplier,ebitPerRevenue,enterpriseValueMultiple,operatingCashFlowPerShare,operatingCashFlowSalesRatio,payablesTurnover,CIK,binaryRating,GPT_description
1194,BB,Harsco Corporation,HSC,Egan-Jones Ratings Company,3/19/2014,Consumer Services,1.382330014,1.000749874,0.154267934,44.50549798,-0.078694779,-0.074812534,0.838604601,-0.04653826,-0.093351566,-0.118091815,-0.404335671,1.18624854,4.071886255,3.331321775,0.769123595,-0.161110496,-0.307519057,-0.716884403,3.145848554,4.331321775,-0.074812534,27.26507844,2.331186923,0.064993509,2.576952759,45876.0,0,"Based on the financial indicators provided, Harsco Corporation's overall credit condition can be summarized as follows:

Harsco Corporation exhibits a weak financial performance and faces significant credit risks. The company's profitability ratios, such as net profit margin and return on equity, are negative, indicating financial instability and underperformance. Moreover, the company's gross profit margin is relatively high, but its operating profit margin is negative, suggesting inefficiency in managing costs and expenses.

The company's liquidity position is relatively satisfactory, with a current ratio of 1.382 and a quick ratio of 1.001, indicating its ability to meet short-term obligations. However, the cash ratio is low, indicating a potential issue in maintaining sufficient cash on hand.

Harsco Corporation's asset turnover ratio is relatively high, suggesting effective utilization of assets to generate sales. However, the fixed asset turnover ratio is even higher, indicating a significant reliance on fixed assets for generating revenue, which may pose a risk if these assets become obsolete or depreciate.

The company's debt ratios, including debt-equity ratio and debt ratio, are relatively high, indicating a heavy reliance on debt financing. This increases the financial risk and potentially limits the company's ability to obtain additional credit.

Furthermore, Harsco Corporation's effective tax rate is negative, suggesting potential tax-related issues or benefits. The company's free cash flow per share and free cash flow operating cash flow ratio are also negative, indicating cash flow difficulties and potential challenges in meeting financial obligations.

Overall, Harsco Corporation's credit condition is weak, characterized by negative profitability, high debt levels, and potential cash flow challenges. Investors and creditors should exercise caution when dealing with this company."
1678,BB,"ACI Worldwide, Inc.",ACIW,Standard & Poor's Ratings Services,11/26/2013,Technology,1.262621528,0.864103009,0.275054977,85.90874038,0.073841985,0.107707231,0.631743914,0.142263865,0.037974827,0.069716692,0.117470489,0.514271478,15.08235828,2.093377893,0.676728795,0.314419433,0.84753428,2.985468889,2.419111846,3.093377893,0.107707231,7.384392373,3.522534674,0.16003413,7.29568464,935036.0,0,"ACI Worldwide, Inc. is a company with a mixed credit profile. It has a current ratio of 1.2626, indicating a relatively strong liquidity position. However, its quick ratio is 0.8641, suggesting a slightly lower ability to meet short-term obligations without relying on inventory. The cash ratio is also relatively low at 0.2751, indicating a limited ability to cover immediate liabilities with cash alone.

The company's profitability margins are moderately healthy, with a net profit margin of 0.0738 and an operating profit margin of 0.1423. This indicates that ACI Worldwide, Inc. is able to generate reasonable returns on its sales and operations. Its return on assets, return on capital employed, and return on equity are also positive, suggesting efficient asset utilization and satisfactory returns for investors.

ACI Worldwide, Inc. has a debt-equity ratio of 2.0934, indicating a relatively high level of debt in its capital structure. The debt ratio is 0.6767, suggesting that a significant portion of the company's assets are financed through debt. The effective tax rate is 0.3144, indicating a moderate tax burden on the company's profits.

In terms of cash flow, ACI Worldwide, Inc. has a free cash flow operating cash flow ratio of 0.8475, indicating a healthy ability to generate free cash flow from its operations. The company's enterprise value multiple is 7.3844, indicating a relatively high valuation compared to its operating income. The payables turnover ratio is 7.2957, suggesting a relatively efficient management of its trade payables.

Overall, ACI Worldwide, Inc. has a reasonably strong liquidity position, satisfactory profitability margins, and positive returns for investors. However, its relatively high debt levels and valuation multiples should be carefully monitored."
748,A,Cintas Corporation,CTAS,Egan-Jones Ratings Company,10/1/2014,Consumer Non-Durables,2.865564462,1.630446685,0.814573478,40.76966601,0.082262185,0.130765726,0.420576685,0.124567974,0.083909474,0.15531606,0.170755243,1.020024865,5.319389227,1.034993602,0.508597964,0.392150143,0.760547002,3.841173978,4.311189015,2.034993602,0.130765726,11.13175652,5.050541216,0.133566369,17.5746385,723254.0,1,"Cintas Corporation has a binary credit rating of 1, indicating a positive credit outlook. The company exhibits a strong financial position with a current ratio of 2.865, indicating a healthy liquidity position. Additionally, the quick ratio of 1.630 suggests that the company has sufficient liquid assets to cover its short-term obligations.

Cintas Corporation maintains a solid profitability, with a net profit margin of 8.23%. This indicates that the company is efficient in controlling costs and generating profits from its operations. Furthermore, the return on assets and return on equity ratios of 8.39% and 17.08% respectively, demonstrate the company's ability to generate returns for its shareholders.

The company's asset turnover of 1.02 indicates efficient utilization of its assets to generate sales. Moreover, the fixed asset turnover ratio of 5.32 implies effective utilization of fixed assets for revenue generation. This suggests that Cintas Corporation is effectively managing its resources to drive revenue growth.

Cintas Corporation has a moderate debt-equity ratio of 1.03, indicating a balanced capital structure. The company has a sufficient cash ratio of 0.81, ensuring it has enough cash on hand to cover its short-term obligations.

Overall, Cintas Corporation demonstrates strong financial performance with a positive credit outlook. The company's robust liquidity position, profitability, and efficient utilization of assets contribute to its positive credit rating. This indicates that Cintas Corporation is likely to meet its financial obligations and is a reliable and creditworthy entity in the market."
1879,B,Select Medical Holdings Corporation,SEM,Standard & Poor's Ratings Services,11/17/2016,Health Care,1.413608334,1.17694158,0.173238168,48.86104851,0.026927306,0.042168249,0.144931161,0.069959293,0.023341784,0.04133179,0.14148273,0.866844376,4.803787644,5.061350333,0.83502026,0.306881937,0.533665317,1.447192383,0.774795991,6.061350333,0.042168249,9.095278898,2.711797704,0.080868246,28.95781381,1320414.0,0,"Select Medical Holdings Corporation has a generally stable credit condition, as reflected by its binaryRating of 0. The company's financial indicators suggest a healthy liquidity position, as evidenced by its currentRatio of 1.41, indicating that it has sufficient current assets to cover its current liabilities. Additionally, the quickRatio of 1.18 and cashRatio of 0.17 indicate that the company has a satisfactory ability to meet its short-term obligations.

The company's profitability is moderate, with a netProfitMargin of 0.03 and a pretaxProfitMargin of 0.04. These figures indicate that the company is able to generate decent profits relative to its revenue. The grossProfitMargin of 0.14 and operatingProfitMargin of 0.07 suggest that the company effectively manages its costs and expenses.

The returnOnAssets of 0.02 and returnOnEquity of 0.14 indicate that the company is able to generate satisfactory returns on its assets and equity, respectively. The assetTurnover of 0.87 and fixedAssetTurnover of 4.80 suggest that the company efficiently utilizes its assets to generate revenue.

The company's debtEquityRatio of 5.06 and debtRatio of 0.84 reflect a relatively high level of debt compared to its equity and total assets, indicating a higher risk associated with its financial structure. However, the effectiveTaxRate of 0.31 indicates that the company is able to effectively manage its tax expenses.

Furthermore, the company's freeCashFlowOperatingCashFlowRatio of 0.53 suggests that it has a healthy level of free cash flow relative to its operating cash flow, indicating the potential for reinvestment or debt repayment. The enterpriseValueMultiple of 9.10 implies that the company is trading at a relatively high valuation.

In conclusion, Select Medical Holdings Corporation demonstrates overall stability in its credit condition. While the company has a healthy liquidity position and satisfactory profitability, its higher debt levels and valuation suggest a need for careful financial management."
1430,B,Fiat Chrysler Automobiles N.V.,FCAU,Moody's Investors Service,5/10/2016,Capital Goods,0.928171115,0.583924683,0.416538989,23.30033003,0.003020028,0.004521,0.117319951,0.022442244,0.003158303,0.051042761,0.019875037,1.045785935,4.028374736,5.283249033,0.839550651,0.332,0.095579941,0.550222155,12.93199175,6.292948527,0.025914372,2.866120787,5.756669782,0.088168543,4.547868623,1605484.0,0,"Based on the given financial indicators and credit rating of Fiat Chrysler Automobiles N.V., it can be concluded that the overall credit condition of the company is not very strong. The binary rating of 0 indicates a poor credit rating. 

The company's liquidity ratios, such as the current ratio and quick ratio, are below the ideal benchmark, suggesting a potential difficulty in meeting short-term obligations. Additionally, the cash ratio is relatively low, indicating a limited ability to cover immediate liabilities with available cash. 

Profitability ratios, such as net profit margin and gross profit margin, are also relatively low. This implies that the company is not generating significant profits from its operations. The return on assets, return on capital employed, and return on equity ratios are all relatively low, indicating a suboptimal utilization of assets and capital. 

The debt-equity ratio is high, suggesting that the company relies heavily on debt financing. Furthermore, the effective tax rate is relatively high, which may impact the company's profitability. 

Although the company has a positive operating cash flow per share, the ratio of free cash flow to operating cash flow is low, indicating potential constraints in generating free cash flow. 

In conclusion, Fiat Chrysler Automobiles N.V. faces challenges in terms of liquidity, profitability, and debt management. It is important for the company to improve its financial performance and address the issues highlighted by the financial indicators to enhance its overall creditworthiness."
484,A,"Dominion Energy, Inc.",D,Egan-Jones Ratings Company,9/21/2015,Public Utilities,0.516133005,0.253940887,0.074753695,37.49037062,0.162543867,0.242061114,1.0,0.302661988,0.032297566,0.055804408,0.149952622,0.198700614,0.281152236,3.642845862,0.784614861,0.320014144,-0.245810056,-1.856853477,1.455097907,4.642845862,0.242061114,12.46560457,7.554017556,0.383035179,0.0,715957.0,1,"Based on the provided financial indicators and credit evaluation for Dominion Energy, Inc., the overall credit condition of the company can be summarized as follows:

Dominion Energy, Inc. exhibits a generally weak credit profile. The company's liquidity position is concerning, with a current ratio of 0.516133005 and a quick ratio of 0.253940887, indicating potential difficulties in meeting short-term obligations. The cash ratio of 0.074753695 further highlights the company's limited ability to cover immediate cash requirements.

In terms of profitability, Dominion Energy, Inc. demonstrates a net profit margin of 0.162543867 and a gross profit margin of 1.0. While the gross profit margin appears favorable, the comparatively lower net profit margin suggests that the company faces challenges in efficiently managing costs and generating bottom-line profits.

Additionally, Dominion Energy, Inc. has a relatively high debt-equity ratio of 3.642845862 and a debt ratio of 0.784614861, indicating a significant reliance on debt financing. This raises concerns about the company's ability to service its debt obligations and maintain financial stability.

Furthermore, the negative free cash flow operating cash flow ratio of -0.245810056 and the negative free cash flow per share of -1.856853477 suggest that the company may be experiencing cash flow constraints and difficulties in generating sufficient cash from its operations.

Overall, the financial indicators indicate a weak liquidity position, lower profitability, high debt levels, and negative cash flow performance for Dominion Energy, Inc. These factors collectively contribute to the company's weak credit condition and may pose risks to its financial stability and ability to meet its obligations.

In conclusion, Dominion Energy, Inc. faces challenges in terms of liquidity, profitability, debt management, and cash flow generation, which impact its overall creditworthiness."
1757,BB,Antero Resources Corporation,AR,Standard & Poor's Ratings Services,9/27/2016,Energy,0.49252864,0.164320983,0.038671965,6.210246342,-0.486559952,-0.714133647,1.0,-0.55935054,-0.059542845,-0.092707916,-0.135536776,0.122375145,0.145053771,1.276289894,0.560688644,0.398431881,-1.010406395,-4.252226686,0.354750886,2.276289894,-0.714133647,-73.13445505,4.208432081,0.711515169,0.0,1433270.0,0,"Based on the given financial indicators and credit rating, Antero Resources Corporation's overall credit condition can be summarized as follows:

Antero Resources Corporation is facing significant financial challenges. The company's profitability indicators, such as net profit margin, pretax profit margin, and operating profit margin, are all negative. This indicates that the company is currently experiencing losses and is not generating sufficient revenue to cover its operating expenses.

The liquidity position of the company is also weak. The current ratio, quick ratio, and cash ratio are all below 1, suggesting that the company may face difficulties in meeting its short-term obligations. Additionally, the days of sales outstanding indicate that the company takes a relatively long time to collect its receivables, which further affects its cash flow.

Antero Resources Corporation's return on assets, return on capital employed, and return on equity are all negative, indicating poor utilization of resources and a lack of profitability. The debt equity ratio and debt ratio are relatively high, implying a high level of debt compared to equity. This increases the financial risk for the company.

Furthermore, the company's free cash flow operating cash flow ratio and free cash flow per share are negative, indicating a negative cash flow from operations and a lack of available cash for investment or debt repayment.

Overall, Antero Resources Corporation's financial indicators suggest a weak credit profile, indicating potential difficulties in meeting financial obligations and generating profits. The company needs to address its profitability, liquidity, and debt levels to improve its creditworthiness."
95,B,"Bottomline Technologies, Inc.",EPAY,Egan-Jones Ratings Company,12/3/2014,Technology,2.590316986,2.329809218,1.546855973,74.14994095,-0.063556066,-0.056629572,0.565287689,-0.008243924,-0.027278062,-0.028755953,-0.049310062,0.429196836,8.372608005,0.807681983,0.446805351,-0.122312302,0.757721989,1.07425205,5.198403649,1.807681983,-0.056629572,26.5852539,1.417739045,0.173731224,8.024811153,1073349.0,0,"Based on the provided financial indicators and credit evaluation, Bottomline Technologies, Inc. shows a mixed credit profile. 

The company's current ratio and quick ratio indicate favorable liquidity, suggesting its ability to meet short-term obligations. However, the negative net profit margin and pre-tax profit margin raise concerns about profitability. This could be attributed to negative operating profit margin, indicating inefficient operations.

Return on assets, return on capital employed, and return on equity are all negative, suggesting that the company is not generating sufficient returns on its investments. Additionally, the debt equity ratio and debt ratio indicate a moderate level of leverage, possibly affecting the company's financial stability.

The asset turnover is relatively low, indicating lower efficiency in generating sales from its assets. On the other hand, the fixed asset turnover is high, suggesting effective utilization of fixed assets.

The effective tax rate is negative, which may indicate potential tax benefits or losses. The free cash flow to operating cash flow ratio is positive, indicating the company's ability to generate free cash flow from its operations.

Overall, Bottomline Technologies, Inc. appears to have a mixed credit profile. While its liquidity position and fixed asset utilization are positive, the company faces challenges in terms of profitability and return on investment. The moderate level of leverage and negative net profit margin also raise concerns. Further analysis of the company's industry position, competitive landscape, and market conditions would be necessary to provide a more comprehensive credit assessment."
1020,BB,Entravision Communications Corporation,EVC,Standard & Poor's Ratings Services,7/18/2016,Consumer Services,3.803877315,3.662962963,1.780092593,91.87618466,0.078931895,0.129687367,0.963112249,0.18898783,0.0393979,0.069360168,0.11122558,0.499137899,4.669014593,1.823134703,0.645783816,0.391367894,0.841995951,0.539989724,0.688600788,2.823134703,0.129687367,10.74515269,0.641321046,0.221635966,0.309509899,1109116.0,0,"Based on the given financial indicators and credit evaluation, Entravision Communications Corporation can be summarized as having a relatively good credit standing. 

The company demonstrates a strong liquidity position, with high current, quick, and cash ratios. This indicates that Entravision Communications Corporation has sufficient short-term assets to cover its current liabilities and can readily access cash if needed. Moreover, the company shows efficient management of its sales and collection process, with a reasonable days of sales outstanding figure.

Entravision Communications Corporation also exhibits solid profitability, with healthy profit margins and return on investment ratios. The company's net profit margin, pretax profit margin, and gross profit margin all suggest effective cost management and revenue generation. In addition, the return on assets, return on capital employed, and return on equity indicate that the company is utilizing its resources efficiently to generate profits.

The company's financial leverage is relatively high, as seen from the debt-equity ratio and debt ratio. However, Entravision Communications Corporation's effective tax rate and free cash flow operating cash flow ratio demonstrate its ability to meet debt obligations and generate sufficient cash flow.

Overall, Entravision Communications Corporation appears to have a stable financial position with strong liquidity, profitability, and efficient asset utilization. However, the high debt levels should be monitored closely to ensure continued financial stability."
563,BBB,"Choice Hotels International, Inc.",CHH,Egan-Jones Ratings Company,8/10/2015,Consumer Services,1.494851358,1.444441774,0.929933274,37.92803165,0.148892052,0.2139664,1.0,0.26203601,0.178559574,0.361467915,-0.323388036,1.199255241,9.753828354,-2.811093233,1.55215269,0.304133489,0.826329814,2.325254339,3.71589749,-1.811093233,0.2139664,13.10727845,2.813954307,0.18592405,0.0,1046311.0,1,"Choice Hotels International, Inc. is a company that operates in the hospitality industry. Based on the provided financial indicators and binary rating, we can infer the overall credit condition of the company.

The company has a positive current ratio, quick ratio, and cash ratio, indicating that it has sufficient short-term liquidity to meet its obligations. Additionally, the days of sales outstanding are relatively low, suggesting that the company efficiently collects its receivables.

Choice Hotels International has a net profit margin and pre-tax profit margin, indicating that it generates profits from its operations. The operating profit margin is also positive, implying that the company effectively manages its operational costs. However, the return on equity is negative, which may be a cause for concern.

The asset turnover and fixed asset turnover ratios indicate that the company efficiently utilizes its assets to generate revenue. However, the company has a negative debt-equity ratio, suggesting that it has more debt than equity. The debt ratio is also high, which could be indicative of financial risk.

The effective tax rate is relatively high, indicating a significant tax burden on the company's profits. On the positive side, the company has a strong free cash flow to operating cash flow ratio, implying that it generates sufficient cash flow to fund its operations and invest in growth opportunities.

In summary, Choice Hotels International appears to have a positive overall credit condition, with strong liquidity and profitability indicators. However, the negative return on equity and high debt levels are areas that require attention. It is important for investors and stakeholders to closely monitor the company's financial performance and debt management strategies."
