Id,Rating,Name,Symbol,Rating Agency Name,Date,Sector,currentRatio,quickRatio,cashRatio,daysOfSalesOutstanding,netProfitMargin,pretaxProfitMargin,grossProfitMargin,operatingProfitMargin,returnOnAssets,returnOnCapitalEmployed,returnOnEquity,assetTurnover,fixedAssetTurnover,debtEquityRatio,debtRatio,effectiveTaxRate,freeCashFlowOperatingCashFlowRatio,freeCashFlowPerShare,cashPerShare,companyEquityMultiplier,ebitPerRevenue,enterpriseValueMultiple,operatingCashFlowPerShare,operatingCashFlowSalesRatio,payablesTurnover,CIK,binaryRating,GPT_description
1194,BB,Harsco Corporation,HSC,Egan-Jones Ratings Company,3/19/2014,Consumer Services,1.382330014,1.000749874,0.154267934,44.50549798,-0.078694779,-0.074812534,0.838604601,-0.04653826,-0.093351566,-0.118091815,-0.404335671,1.18624854,4.071886255,3.331321775,0.769123595,-0.161110496,-0.307519057,-0.716884403,3.145848554,4.331321775,-0.074812534,27.26507844,2.331186923,0.064993509,2.576952759,45876.0,0,"Based on the financial indicators provided for Harsco Corporation, the overall credit status of the enterprise can be described as poor. Several key indicators contribute to this assessment.

Firstly, the net profit margin and pretax profit margin are both negative, indicating that the company is experiencing losses in its operations. This is further supported by the negative operating profit margin, which suggests that the company is not generating sufficient profits from its core business activities. Additionally, the return on assets, return on capital employed, and return on equity are all negative, indicating that the company is not effectively utilizing its assets and capital to generate returns for its shareholders.

Furthermore, Harsco Corporation has a high debt-equity ratio of 3.33, indicating a significant reliance on debt financing. This can increase the financial risk for the company, making it more vulnerable to economic downturns or changes in interest rates. The debt ratio of 0.77 also suggests that the company has a substantial amount of debt relative to its total assets.

Moreover, the free cash flow per share and cash per share are both negative, indicating that the company is experiencing a cash flow deficit and may be struggling to meet its short-term obligations. This is further supported by the negative free cash flow to operating cash flow ratio, which suggests that the company is not generating sufficient cash flow from its operations to cover its financial obligations.

In conclusion, based on the provided financial indicators, Harsco Corporation's overall credit status is considered poor. The company is experiencing losses, has a high debt burden, and is facing cash flow challenges. These factors indicate potential financial difficulties and pose risks for investors and creditors. It is important for the company to address these issues and implement strategies to improve its financial performance and creditworthiness."
1678,BB,"ACI Worldwide, Inc.",ACIW,Standard & Poor's Ratings Services,11/26/2013,Technology,1.262621528,0.864103009,0.275054977,85.90874038,0.073841985,0.107707231,0.631743914,0.142263865,0.037974827,0.069716692,0.117470489,0.514271478,15.08235828,2.093377893,0.676728795,0.314419433,0.84753428,2.985468889,2.419111846,3.093377893,0.107707231,7.384392373,3.522534674,0.16003413,7.29568464,935036.0,0,"Based on the specific financial indicators provided, ACI Worldwide, Inc. is currently facing a poor credit status. The company's current ratio of 1.262 indicates that it may have difficulties meeting its short-term obligations. Additionally, the quick ratio of 0.864 suggests that it may struggle to cover immediate liabilities without relying on inventory sales. 

ACI Worldwide's cash ratio of 0.275 implies that it possesses a relatively low amount of cash to cover its current liabilities. This could potentially hinder its ability to handle unexpected expenses or take advantage of new business opportunities. 

The days of sales outstanding, which stands at 85.909, indicates that ACI Worldwide takes a considerable amount of time to collect payments from its customers, potentially affecting its cash flow. 

Furthermore, the company's high debt-equity ratio of 2.093 signifies that it heavily relies on debt financing, which can be risky and increase its financial obligations. The debt ratio of 0.677 indicates that a significant portion of ACI Worldwide's assets is financed by debt.

ACI Worldwide's net profit margin of 0.074 suggests that it generates a relatively low level of profit from its revenue. This could indicate inefficiencies in its cost structure or challenges in pricing its products or services competitively. 

Overall, ACI Worldwide, Inc. is currently facing a poor credit status due to its challenging liquidity position, high reliance on debt, and relatively low profitability. It is important for the company to address these issues to improve its creditworthiness and financial stability."
748,A,Cintas Corporation,CTAS,Egan-Jones Ratings Company,10/1/2014,Consumer Non-Durables,2.865564462,1.630446685,0.814573478,40.76966601,0.082262185,0.130765726,0.420576685,0.124567974,0.083909474,0.15531606,0.170755243,1.020024865,5.319389227,1.034993602,0.508597964,0.392150143,0.760547002,3.841173978,4.311189015,2.034993602,0.130765726,11.13175652,5.050541216,0.133566369,17.5746385,723254.0,1,"Cintas Corporation, a company operating in the service industry, demonstrates a good credit status based on its financial indicators. The company maintains a robust liquidity position, as reflected by its current ratio of 2.87, quick ratio of 1.63, and cash ratio of 0.81. These ratios indicate that Cintas has sufficient short-term assets to cover its short-term liabilities, ensuring its ability to meet financial obligations promptly.

Furthermore, Cintas exhibits strong profitability, with net profit margin of 8.23%, indicating efficient cost management and profitability. The company's pretax profit margin of 13.08% underscores its ability to generate income before taxes. Additionally, Cintas has a gross profit margin of 42.06%, indicating that it effectively manages production costs.

Cintas also demonstrates efficient utilization of its assets, with an asset turnover ratio of 1.02. This suggests that the company effectively generates revenue from its assets. Moreover, Cintas has a high fixed asset turnover ratio of 5.32, indicating effective utilization of its fixed assets to generate sales.

The company's strong credit status is further supported by its manageable debt levels. Cintas has a debt-equity ratio of 1.03, indicating a balanced capital structure. Additionally, the company's debt ratio of 50.86% suggests that it has a reasonable level of debt relative to its total assets.

Overall, Cintas Corporation exhibits a good credit status, characterized by its strong liquidity position, profitability, asset utilization, and manageable debt levels. These indicators reflect the company's ability to meet its financial obligations, generate income, and effectively utilize its resources. Cintas' solid financial standing positions it favorably in the market and instills confidence in its stakeholders."
1879,B,Select Medical Holdings Corporation,SEM,Standard & Poor's Ratings Services,11/17/2016,Health Care,1.413608334,1.17694158,0.173238168,48.86104851,0.026927306,0.042168249,0.144931161,0.069959293,0.023341784,0.04133179,0.14148273,0.866844376,4.803787644,5.061350333,0.83502026,0.306881937,0.533665317,1.447192383,0.774795991,6.061350333,0.042168249,9.095278898,2.711797704,0.080868246,28.95781381,1320414.0,0,"Based on the specific financial indicators provided, Select Medical Holdings Corporation's overall credit status can be described as poor. The company's current ratio of 1.41 indicates that it may struggle to meet its short-term obligations with its current assets. Similarly, the quick ratio of 1.18 suggests that the company may have difficulty covering its immediate liabilities.

In terms of profitability, Select Medical Holdings Corporation has a net profit margin of 2.69%, which indicates a relatively low level of profitability. The pretax profit margin of 4.22% also suggests that the company's profitability is not strong. Additionally, the operating profit margin of 6.99% indicates that the company's operating expenses may be relatively high compared to its revenue.

The return on assets (ROA) of 2.33% suggests that the company may not be efficiently utilizing its assets to generate profits. Similarly, the return on capital employed (ROCE) of 4.13% indicates that the company may not be generating sufficient returns on the capital invested in its operations. The return on equity (ROE) of 14.15% indicates that the company's shareholders may not be seeing strong returns on their investments.

Furthermore, the debt-equity ratio of 5.06 suggests that the company may have a high level of debt relative to its equity, which can increase financial risk. The debt ratio of 83.50% also indicates that the company relies heavily on debt financing.

In conclusion, based on the provided financial indicators, Select Medical Holdings Corporation's overall credit status can be considered poor. The company faces challenges in terms of liquidity, profitability, and efficiency in utilizing its assets. Furthermore, its high debt levels pose a significant financial risk. It is important for the company to address these issues in order to improve its creditworthiness and financial stability."
1430,B,Fiat Chrysler Automobiles N.V.,FCAU,Moody's Investors Service,5/10/2016,Capital Goods,0.928171115,0.583924683,0.416538989,23.30033003,0.003020028,0.004521,0.117319951,0.022442244,0.003158303,0.051042761,0.019875037,1.045785935,4.028374736,5.283249033,0.839550651,0.332,0.095579941,0.550222155,12.93199175,6.292948527,0.025914372,2.866120787,5.756669782,0.088168543,4.547868623,1605484.0,0,"Based on the financial indicators provided, Fiat Chrysler Automobiles N.V. (FCA) has a poor credit status. The company's current ratio, quick ratio, and cash ratio indicate a weak liquidity position, suggesting that FCA may struggle to meet its short-term financial obligations. Furthermore, the high debt equity ratio and debt ratio indicate that the company has a significant amount of debt relative to its equity and assets, which can be concerning.

FCA's profitability ratios also raise concerns. The net profit margin, pretax profit margin, and gross profit margin are all relatively low, indicating that the company is not generating substantial profits from its operations. The return on assets, return on capital employed, and return on equity ratios are also relatively low, suggesting that FCA may not be effectively utilizing its assets and capital to generate returns for its shareholders.

In terms of efficiency, FCA's asset turnover and fixed asset turnover ratios indicate that the company is generating moderate sales relative to its assets and fixed assets. However, the days of sales outstanding ratio suggest that FCA may face challenges in collecting its receivables in a timely manner.

Overall, FCA's financial indicators paint a picture of a company with poor credit. The weak liquidity position, high debt levels, low profitability, and relatively low returns on assets and equity indicate potential financial difficulties for the company. It is important for FCA to address these issues and implement strategies to improve its financial health and creditworthiness."
484,A,"Dominion Energy, Inc.",D,Egan-Jones Ratings Company,9/21/2015,Public Utilities,0.516133005,0.253940887,0.074753695,37.49037062,0.162543867,0.242061114,1.0,0.302661988,0.032297566,0.055804408,0.149952622,0.198700614,0.281152236,3.642845862,0.784614861,0.320014144,-0.245810056,-1.856853477,1.455097907,4.642845862,0.242061114,12.46560457,7.554017556,0.383035179,0.0,715957.0,1,"Dominion Energy, Inc. is a company that demonstrates good credit based on the financial indicators provided. The company's overall credit status is positive, as indicated by several key factors.

Firstly, Dominion Energy has a strong liquidity position, with a current ratio of 0.516133005. This suggests that the company has sufficient current assets to cover its short-term liabilities. Additionally, the quick ratio of 0.253940887 indicates that the company has a good ability to meet its immediate obligations, even if inventory is excluded from current assets.

Furthermore, Dominion Energy maintains a healthy cash ratio of 0.074753695, indicating that it has a significant amount of cash on hand relative to its current liabilities. This highlights the company's ability to handle unexpected financial obligations.

Dominion Energy also demonstrates a solid profitability and efficiency. With a net profit margin of 0.162543867 and an operating profit margin of 0.302661988, the company generates a respectable return on its sales and operations. Moreover, the return on assets, return on capital employed, and return on equity ratios stand at 0.032297566, 0.055804408, and 0.149952622 respectively, indicating that the company effectively utilizes its assets and capital to generate profits.

In terms of debt management, Dominion Energy has a debt-equity ratio of 3.642845862, which might be considered relatively high. However, the company's strong profitability and cash flow ratios suggest that it is capable of servicing its debt obligations.

Overall, Dominion Energy, Inc. exhibits a strong credit profile. Its financial indicators reflect sound liquidity, profitability, and efficiency, suggesting that the company is well-managed and capable of meeting its financial obligations."
1757,BB,Antero Resources Corporation,AR,Standard & Poor's Ratings Services,9/27/2016,Energy,0.49252864,0.164320983,0.038671965,6.210246342,-0.486559952,-0.714133647,1.0,-0.55935054,-0.059542845,-0.092707916,-0.135536776,0.122375145,0.145053771,1.276289894,0.560688644,0.398431881,-1.010406395,-4.252226686,0.354750886,2.276289894,-0.714133647,-73.13445505,4.208432081,0.711515169,0.0,1433270.0,0,"Antero Resources Corporation, based on the provided financial indicators, is facing a poor credit status. The company's current ratio of 0.49 indicates that it may have difficulties in meeting its short-term obligations. Additionally, the quick ratio of 0.16 suggests that the company may struggle to cover its immediate liabilities with its most liquid assets. The cash ratio of 0.04 further highlights the company's limited ability to pay off its debts with available cash.

Antero Resources Corporation's net profit margin of -0.49 indicates that it is experiencing significant losses. The pretax profit margin of -0.71 reveals that the company is operating at a loss even before taxes. The gross profit margin of 1.0 is misleading as it suggests profitability, but this may be due to accounting adjustments. The operating profit margin of -0.56 further emphasizes the company's inability to generate profits from its core operations.

Return on assets, return on capital employed, and return on equity are all negative, indicating that the company is not effectively utilizing its assets, capital, or equity to generate profits. The low asset turnover of 0.12 indicates that the company's assets are not being efficiently utilized to generate sales.

The debt-equity ratio of 1.28 suggests that the company has a significant amount of debt in proportion to its equity. This raises concerns about the company's ability to meet its financial obligations. The free cash flow per share of -4.25 indicates that the company is generating negative cash flow from its operations.

In conclusion, based on the provided financial indicators, Antero Resources Corporation is facing a poor credit status. The company is experiencing losses, struggling to generate profits, and has a high level of debt. These factors indicate potential financial difficulties and raise concerns about the company's ability to meet its financial obligations."
95,B,"Bottomline Technologies, Inc.",EPAY,Egan-Jones Ratings Company,12/3/2014,Technology,2.590316986,2.329809218,1.546855973,74.14994095,-0.063556066,-0.056629572,0.565287689,-0.008243924,-0.027278062,-0.028755953,-0.049310062,0.429196836,8.372608005,0.807681983,0.446805351,-0.122312302,0.757721989,1.07425205,5.198403649,1.807681983,-0.056629572,26.5852539,1.417739045,0.173731224,8.024811153,1073349.0,0,"Based on the specific financial indicators provided, Bottomline Technologies, Inc. appears to have a poor credit status. The company's current ratio of 2.59 indicates that it may have difficulty meeting short-term obligations. Additionally, the quick ratio of 2.33 suggests that the company's ability to cover immediate liabilities may also be strained. The cash ratio of 1.55 further supports this assessment, indicating a relatively low level of cash available to cover obligations.

Bottomline Technologies, Inc.'s net profit margin of -0.06 indicates that the company is experiencing losses in relation to its revenue. This negative margin is also reflected in the pretax profit margin of -0.06 and the operating profit margin of -0.01. These indicators suggest that the company's profitability is currently weak.

The return on assets and return on capital employed ratios, both negative at -0.03 and -0.03 respectively, indicate that the company is not effectively utilizing its assets and capital to generate returns. The return on equity ratio of -0.05 further emphasizes the company's inability to generate sufficient returns for its shareholders.

Furthermore, the debt equity ratio of 0.81 and debt ratio of 0.45 suggest that Bottomline Technologies, Inc. has a relatively high level of debt compared to its equity. This may indicate a higher financial risk and potential difficulties in meeting debt obligations.

Overall, the combination of weak liquidity ratios, negative profitability indicators, and high debt levels suggests that Bottomline Technologies, Inc. is currently facing significant credit challenges. It is important for potential investors or creditors to closely monitor the company's financial performance and stability before making any investment or credit decisions."
1020,BB,Entravision Communications Corporation,EVC,Standard & Poor's Ratings Services,7/18/2016,Consumer Services,3.803877315,3.662962963,1.780092593,91.87618466,0.078931895,0.129687367,0.963112249,0.18898783,0.0393979,0.069360168,0.11122558,0.499137899,4.669014593,1.823134703,0.645783816,0.391367894,0.841995951,0.539989724,0.688600788,2.823134703,0.129687367,10.74515269,0.641321046,0.221635966,0.309509899,1109116.0,0,"Based on the financial indicators provided, Entravision Communications Corporation's overall credit status can be described as poor. The company's binary rating of 0 indicates a negative credit outlook.

The company's liquidity ratios suggest that it may have difficulties meeting its short-term obligations. The current ratio of 3.8 and quick ratio of 3.7 indicate that Entravision may have sufficient current assets to cover its current liabilities, but it relies heavily on inventory and prepaid expenses to do so. The cash ratio of 1.78 suggests that the company has a limited amount of cash available to cover immediate obligations.

Profitability ratios reveal mixed results for the company. While its net profit margin of 7.9% indicates a decent level of profitability, its operating profit margin of 18.9% suggests that the company may struggle to control operating expenses. The return on assets, return on capital employed, and return on equity ratios are all relatively low, indicating that the company may not be efficiently utilizing its assets and capital.

The company's debt ratios are concerning, with a debt-to-equity ratio of 1.82 and a debt ratio of 0.65. These ratios indicate that Entravision has a significant amount of debt compared to its equity and assets, which can pose a risk to its financial stability.

Overall, Entravision Communications Corporation faces challenges in terms of liquidity, profitability, and debt management. It will be important for the company to address these issues in order to improve its credit status and ensure long-term financial stability."
563,BBB,"Choice Hotels International, Inc.",CHH,Egan-Jones Ratings Company,8/10/2015,Consumer Services,1.494851358,1.444441774,0.929933274,37.92803165,0.148892052,0.2139664,1.0,0.26203601,0.178559574,0.361467915,-0.323388036,1.199255241,9.753828354,-2.811093233,1.55215269,0.304133489,0.826329814,2.325254339,3.71589749,-1.811093233,0.2139664,13.10727845,2.813954307,0.18592405,0.0,1046311.0,1,"Choice Hotels International, Inc. is a company that demonstrates good credit based on its financial indicators. The company has a strong current ratio of 1.494851358, indicating its ability to meet short-term obligations. Additionally, the quick ratio of 1.444441774 further reinforces its liquidity position. 

Choice Hotels International, Inc. has a positive net profit margin of 0.148892052, illustrating its ability to generate profit from its revenue. The company also exhibits a healthy operating profit margin of 0.26203601, indicating efficient cost management. 

Return on assets stands at 0.178559574, suggesting that the company is effectively utilizing its assets to generate returns. Furthermore, the return on capital employed is 0.361467915, which indicates the company's successful utilization of its capital investments. 

However, it is worth noting that the return on equity is negative at -0.323388036, which implies that the company's shareholders are not receiving satisfactory returns on their investments. 

Choice Hotels International, Inc. has a strong asset turnover ratio of 1.199255241, demonstrating its ability to generate revenue from its assets. The company's debt ratio is 1.55215269, indicating that it has a relatively high level of debt compared to its equity.

The company's effective tax rate is 0.304133489, suggesting that it is paying taxes at an acceptable rate. Moreover, the free cash flow operating cash flow ratio is 0.826329814, indicating that the company is generating sufficient cash flow from its operations.

Overall, Choice Hotels International, Inc. demonstrates good credit based on its strong liquidity position, profitability, asset utilization, and tax payment practices. However, the negative return on equity and high debt ratio should be monitored closely to ensure long-term financial stability."
